Table name,Pathogen classification,Pathogen,No physician's visit mean,No physician's visit CrI,Physician's visit only mean,Physician's visit only CrI,"Hospitalized, recovered","Hospitalized, recovered Crl","Hospitalized, died","Hospitalized, died Crl",Chronic outcomes,Chronic outcomes Crl,Total,Total Crl,Note,Source
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,Bacillus cereus ,1.7,0.3-4.4,10.4,0.7-33.1,0.3,0-1.5,0,0-0,,,12.4,1.0-39.0,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,Brucella spp.,0.1,0-0.1,0.2,0-0.5,1.8,1-2.8,13.7,8.2-20.3,,,15.8,9.3-23.8,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,Campylobacter spp. ,72.4,18.5-165.5,174.5,26.3-478.2,144.6,68.3-250.2,994.5,"504-1,616.9",9941.3,"3,665.1-19,067.7",11327.3,"4,282.2-21,578.5","CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,"Clostridium botulinum, foodborne",0,0-0,0,0-0.1,2.4,1.1-4,113.2,56.1-175.7,,,115.6,57.1-179.8,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,Clostridium perfringens,26.7,5.3-62.5,158.8,9.7-516.2,8.5,0.8-23.3,409.8,41.7-1101,,,603.8,"57.5-1,703","CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,Shiga toxin-producing E. coli (STEC) O157,4.8,1.4-10.4,16.2,2.1-45.6,51.7,12.7-113.7,313.1,81.9-667.1,71.3,71.3-71.3,457.1,169.4-908.1,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,STEC non-O157 ,9.6,1.3-26.2,23.6,2.3-71.2,5.7,0-28.8,0,0-0,7.9,7.9-7.9,46.8,11.5-134.2,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,Enterotoxigenic E. coli (ETEC),1.5,0-6.4,3.8,0-16.8,0.2,0-1,0,0-0,,,5.5,0-24.3,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,Diarrheagenic E. coli other than STEC and ETEC,1,0-4.3,2.5,0-11.1,0.2,0-0.8,0,0-0,,,3.7,0-16.1,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,Listeria monocytogenes (non-pregnancy associated) a,0,0-0,0,0-0,50.9,17.4-99.9,3099.1,"1,083.1-5,941",,,3150.1,"1,100.4-6,040.9","CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,Listeria monocytogenes (pregnancy associated) a,,,,,4.6,1.6-8.8,124.9,44.3-237.1,60,19.4-109.9,814.2,"284.4-1,548.8","CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
