Table name,Pathogen classification,Pathogen,No physician's visit mean,No physician's visit CrI,Physician's visit only mean,Physician's visit only CrI,"Hospitalized, recovered","Hospitalized, recovered Crl","Hospitalized, died","Hospitalized, died Crl",Chronic outcomes,Chronic outcomes Crl,Total,Total Crl,Note,Source
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,Mycobacterium bovis b,0,0-0,0.3,0.1-0.4,1.7,1-2.5,41.9,28.4-57.3,,,43.7,29.4-60.1,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,"Salmonella spp., nontyphoidal",88.1,29.9-176.7,191,37.4-485.5,358.3,148.3-658.5,4668.1,"2,053.6-8,139.7",11821.6,"6,588.4-18,637.7",17127,"8,857.7-28,098.1","CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,S. enterica serotype Typhi,0.1, 0-0.4,0.6,0-2.5,1.8,0-8.3,0,0-0,,,2.5,0-11.3,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,Shigella spp. ,11.4,1.6-30.8,24.6,1.5-77.8,23.6,4.4-56.5,109.6,20.7-254.4,1514.3,"269.6-3,655.7",1683.5,"297.7-4,075.1","CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,"Staphylococcus aureus, foodborne",4,1.1-8.6,37.7,2.8-117,29.2,4.5-72.5,106.9,17.3-260.4,,,177.8,25.8-458.4,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,"Streptococcus spp., Group A",0.4,0-1.6,2.2,0-9.7,0,0-0.1,0,0-0,,,2.6,0-11.4,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,"Vibrio cholerae, toxigenic",0,0-0,0,0-0.1,0,0-0.2,0,0-0,,,0.1,0-0.3,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,V. vulnificus ,0,0-0,0,0-0.1,2.1,1.2-3,436.3,275.7-614.6,,,438.4,277-617.7,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,V. parahaemolyticus,3,0.9-6.2,6.9,1-18.6,1.8,0.8-3.2,65.1,32.7-106.7,,,76.8,35.4-134.7,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,"Vibrio spp., other",1.5,0.5-3,3.5,0.5-9.2,1.4,0.8-2.3,96.1,59.4-140.4,,,102.5,61.2-154.9,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Bacteria,Yersinia enterocolitica,8.6,1.8-21.1,16.3,1.8-47.5,15.7,0-65.7,353.6,0.3-1471.8,2.5,0.6-5.9,396.7,4.6-1612,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
"Mean cost for specific health outcomes, by pathogen (2023 U.S. dollars, millions)",Parasites,Cryptosporidium spp. ,6.6,1.1-16.7,11.2,1.1-33.5,5.3,1.4-11.3,45.4,12.7-94.2,,,68.5,16.3-155.7,"CrI = Credibility interval. STEC = Shiga toxin-producing Escherichia coli. ETEC = enterotoxigenic Escherichia coli. a For pregnancy-associated Listeria monocytogenes, ""hospitalized, recovered"" costs are for infected mothers only; ""hospitalized, died"" include fetal loss, stillbirths, and neonatal deaths; and ""sequelae"" are for infected infants. b All M. bovis cases are treated as acute even though treatment generally takes at least a year. Costs of multi-drug resistant (MDR) and non-MDR cases were estimated separately, but costs were combined in this table to ""hospitalized, recover."" c For pregnancy-associated Toxoplasma gondii, ""hospitalized, died"" includes fetal loss, stillbirths, and neonatal deaths. d Each pathogen was modeled individually to reflect uncertainty associated with that pathogen. Totals were modeled to reflect uncertainty simultaneously across outcomes. As a result, pathogen means will not add exactly to the total mean estimate. ""spp."" is the abbreviation indicating all species of the genus listed. For example, Shigella spp. means all species of the genus, Shigella. ""Other foodborne gastroenteritis"" is refered to as ""foodborne illnesses caused by unspecified agents"" in U.S. Centers for Disease Control and Prevention (CDC) estimates of foodborne illness incidence.","Source: USDA, Economic Research Service (ERS) calculations using estimates published in Hoffmann, S., White, A. E., McQueen, R. B., Ahn, J. W., Gunn-Sandell, L. B., & Scallan Walter, E. J. (2025). Economic burden of foodborne illnesses acquired in the United States. Foodborne Pathogens and Disease, 22(1), p.4-14.; Scallan, E., Hoekstra, R.M., Angulo, F.J., Tauxe, R.V., Widdowson, M.A., Roy, S.L., Jones, J.L. and Griffin, P.M., (2011a). Foodborne illness acquired in the United States-major pathogens. Emerging Infectious Diseases, 17(1), p.7.; and Scallan, E., Griffin, P.M., Angulo, F.J., Tauxe, R.V. and Hoekstra, R.M., (2011b). Foodborne illness acquired in the United States unspecified agents. Emerging Infectious Diseases, 17(1), p.16."
